auct_id,gms_greater_avg,listing_title,listing_subtitle,listing_start_date_year,listing_end_date_year,listing_start_date_month,listing_end_date_month,feedback_score_at_listing_time_Log10_transformed,start_price_LogN_transformed,buy_it_now_price_LogN_transformed,dasy_between_weihnachten_2006_transformed,days_between_weihnachten_2005_transformed,listing_start_date_months,listing_end_date_months,listing_start_date_day_transformed,listing_end_date_day_transformed,listing_durtn_days_LogN_transformed,qty_available_per_listing_Mean__avg_transformed,category_avg_gms_transformed,start_price_Mean__avg_transformed,buy_it_now_price_Mean__avg_transformed,feedback_score_at_listing_time_Mean__avg_transformed,item_leaf_category_name_article_category_transformed,item_leaf_category_name_article_category_meta_category_transformed,item_leaf_category_name_color_category_transformed,is_24_days_before_weihnachten_transformed,qty_available_per_listing_is_default_transformed,feedback > avg_transformed,buy_prive > avg_transformed,buy_it_now > gms_avg_transformed,start_prive > avg_transformed,start_price > gms_avg_transformed,qty > avg_transformed,listing_subtitle_lowercase_contains_ovp_transformed,start_price_is_default_transformed,buy_it_now_listed_flag_transformed,feedback_score_at_listing_time_is_default_transformed,listing_durtn_days_is_default_transformed,bold_fee_flag_transformed,category_featured_fee_flag_transformed,gallery_fee_flag_transformed,gallery_featured_fee_flag_transformed,ipix_featured_fee_flag_transformed,highlight_fee_flag_transformed,schedule_fee_flag_transformed,border_fee_flag_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:30 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Sonsti_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Blau_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Grün_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Pink_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Silber_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 2 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 4 GB_transformed,listing_type_code_1_transformed,listing_type_code_2_transformed,listing_type_code_7_transformed,listing_type_code_9_transformed,listing_title_lowercase_contains_new_transformed,listing_subtitle_lowercase_contains_new_transformed,listing_title_lowercase_contains_ovp_transformed,listing_title_lowercase_contains_black_transformed,listing_title_lowercase_contains_silver_transformed,listing_title_lowercase_contains_white_transformed,listing_title_lowercase_contains_green_transformed,listing_title_lowercase_contains_pink_transformed,listing_title_lowercase_contains_blue_transformed,listing_title_lowercase_contains_photo_transformed,listing_title_lowercase_contains_bussword_transformed,listing_title_lowercase_contains_invoice_transformed,listing_title_lowercase_contains_video_transformed,listing_title_lowercase_contains_warrenty_transformed,listing_title_lowercase_contains_colordisplay_transformed,listing_title_lowercase_contains_original_transformed,listing_title_lowercase_contains_verschweißt_transformed,listing_title_lowercase_contains_dock_transformed,listing_title_lowercase_contains_alt_transformed,listing_title_lowercase_contains_songs_transformed,listing_title_lowercase_contains_apple_transformed,listing_title_lowercase_contains_ipod_transformed,listing_title_lowercase_contains_verpackt_transformed,listing_title_lowercase_contains_bag_transformed,Partition
4027,"W","                 apple     iPod nano   4GB    in white","",2005,2005,12,12,0.294827,-0.596090,-0.512916,0.234091,0.234091,-0.234091,-0.237682,-0.248891,0.330647,0.146596,1.296926,14.000000,14.000000,14.000000,14.000000,5,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
13601,"F","          i-Pod mini 6GB Speicher Silber  leicht defekt","",2006,2006,1,1,0.294827,-0.596090,-0.512916,-0.167768,-0.167768,0.167768,0.208703,-1.647490,-0.879958,0.655880,1.310239,8.000000,8.000000,8.000000,8.000000,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"1_Training"
724,"F","  Apple iPod mini 4GB in silber ( wie neu + Zubehör )","",2005,2005,10,10,-0.179452,-0.596090,-0.512916,1.460816,1.460816,-1.460816,-1.364274,0.100758,1.299131,1.195743,-0.872238,12.000000,12.000000,12.000000,12.000000,6,2,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
3893,"F","  Apple Ipod Mini 4GB Silber","",2005,2005,12,12,0.676826,-0.596090,-0.512916,0.255241,0.255241,-0.255241,-0.258939,-0.365441,0.209587,0.146596,-0.872238,12.000000,12.000000,12.000000,12.000000,6,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
15072,"W","  Apple iPod Video 30GB black+Folie+AV Kabel alles NEU","",2006,2006,2,2,-0.295322,-0.596090,2.169940,-1.056087,-1.056087,1.056087,0.952679,-0.365441,-0.395716,0.000000,0.102445,11.000000,11.000000,11.000000,11.000000,3,1,6,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
15114,"W","  Apple iPod Video 30GB black+Folie+AV Kabel alles NEU","",2006,2006,2,2,-0.295322,-0.596090,2.169940,-1.077237,-1.077237,1.077237,1.080217,-0.248891,0.330647,0.146596,0.102445,11.000000,11.000000,11.000000,11.000000,3,1,6,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
12159,"W","  APPLE iPod Video 30GB schwarz, 5G, NEU und OVP","",2005,2005,11,12,0.780475,-0.596090,2.125847,0.614799,0.614799,-0.614799,-0.577786,1.149707,-1.606321,0.655880,0.102445,11.000000,11.000000,11.000000,11.000000,3,1,6,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
5062,"F","  Ipod mini 4gig + Itripp + 2.Accu / alles dabei...","",2005,2006,12,1,0.209364,-0.596090,-0.512916,-0.104317,-0.104317,0.104317,0.208703,1.615907,-0.879958,1.195743,-1.111606,6.000000,6.000000,6.000000,6.000000,6,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"1_Training"
1862,"F"," - Apple ipod / i pod mini Silber 4GB wie neu  -","",2005,2005,11,11,0.694492,-0.596090,-0.512916,0.868604,0.868604,-0.868604,-0.832863,-0.248891,0.572768,0.655880,-0.872238,12.000000,12.000000,12.000000,12.000000,6,2,5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
5425,"W"," !!! Apple iPod mini 4 GB silver NEU und OVP !!!","",2006,2006,1,1,0.338565,-0.596090,-0.512916,-0.252370,-0.252370,0.252370,0.357498,-1.181290,-0.032534,1.195743,-0.872238,12.000000,12.000000,12.000000,12.000000,6,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1_Training"
